username,course,registered_at,start_date,account_age_days,user_cohort
Mbupipaupi,Wikimedia_Indonesia/Kopdar_Wikidata_Bandung_Oktober_2025,2025-09-29 15:28:14+00:00,2025-10-03 22:00:00+00:00,4.272060185185185,New User
Subangkit,Wikimedia_Indonesia/Kopdar_Wikidata_Bandung_Oktober_2025,2025-10-01 17:03:24+00:00,2025-10-03 22:00:00+00:00,2.205972222222222,New User
Adhmi,Wikimedia_Indonesia/Geodatathon_Desember_2025_-_Cadang,2018-05-03 07:41:24+00:00,2025-12-19 17:00:00+00:00,2787.3879166666666,Existing User
Fakhruddin Arrazzi,Wikimedia_Indonesia/Geodatathon_Desember_2025_-_Cadang,2019-10-06 14:51:42+00:00,2025-12-19 17:00:00+00:00,2266.0890972222223,Existing User
Nafisathallah,Wikimedia_Indonesia/Geodatathon_Desember_2025_-_Cadang,2020-07-30 12:15:58+00:00,2025-12-19 17:00:00+00:00,1968.1972453703704,Existing User
Mery Nurfa Dilla,Wikimedia_Indonesia/Geodatathon_Desember_2025_-_Cadang,2021-10-24 06:16:42+00:00,2025-12-19 17:00:00+00:00,1517.446736111111,Existing User
Nurhidayah Tanjung,Wikimedia_Indonesia/Geodatathon_Desember_2025_-_Cadang,2020-02-04 12:06:12+00:00,2025-12-19 17:00:00+00:00,2145.204027777778,Existing User
Seeharee,Wikimedia_Indonesia/Geodatathon_Desember_2025_-_Cadang,2022-12-14 12:50:22+00:00,2025-12-19 17:00:00+00:00,1101.1733564814815,Existing User
Cgjkldn,Wikimedia_Indonesia/Geodatathon_Desember_2025_-_Cadang,2022-03-22 12:58:31+00:00,2025-12-19 17:00:00+00:00,1368.1676967592593,Existing User
Happywu,Wikimedia_Indonesia/Geodatathon_Desember_2025_-_Cadang,2023-12-07 15:52:47+00:00,2025-12-19 17:00:00+00:00,743.0466782407408,Existing User
Sansabit,Wikimedia_Indonesia/Geodatathon_Desember_2025_-_Cadang,2024-05-19 03:38:44+00:00,2025-12-19 17:00:00+00:00,579.5564351851851,Existing User
Muufii,Wikimedia_Indonesia/Geodatathon_Desember_2025_-_Cadang,2024-06-27 08:34:34+00:00,2025-12-19 17:00:00+00:00,540.3509953703704,Existing User
Niryhpr,Wikimedia_Indonesia/Geodatathon_Desember_2025_-_Cadang,2024-10-17 16:54:26+00:00,2025-12-19 17:00:00+00:00,428.00386574074076,Existing User
